TeamName,PlayerName,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP+,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Country,FlashKeybind
0.0,369.0,0.0,8.0,0.5,3.1,2.5,2.4,4.9,7.6,373.0,0.532,0.219,508.0,0.91,0.38,0.11,0.13,322.0,5.0,424.0,0.0,0.25,0.0,2.0,0.0,0.0
0.0,369.0,0.0,9.0,0.333,4.8,5.0,2.0,4.7,10.1,449.0,0.815,0.308,650.0,1.16,0.39,0.34,0.1,-112.0,1.0,97.0,0.333,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.5,0.2,4.4,6.2,1.2,233.0,0.622,0.079,173.0,3.59,1.91,0.52,0.49,-3.0,2.0,-256.0,0.0,0.6,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.5,2.4,3.5,3.2,4.2,8.7,418.0,0.592,0.266,612.0,1.54,0.58,0.32,0.18,278.0,2.0,216.0,0.4,0.0,0.0,3.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,2.3,2.2,3.0,4.8,7.5,357.0,0.542,0.208,523.0,1.12,0.43,0.23,0.18,-311.0,-10.0,-168.0,0.2,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,4.4,4.4,2.0,4.4,10.0,444.0,0.643,0.314,776.0,1.13,0.35,0.4,0.1,-170.0,0.0,-188.0,0.6,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,12.0,0.667,4.2,4.3,2.3,5.2,8.1,413.0,0.555,0.216,552.0,1.07,0.45,0.18,0.19,-40.0,5.0,-9.0,0.167,0.167,0.0,4.0,0.0,0.0
0.0,369.0,0.0,13.0,0.615,4.1,4.4,2.4,5.3,8.3,437.0,0.619,0.236,551.0,1.25,0.46,0.23,0.18,387.0,5.0,232.0,0.154,0.077,0.0,2.0,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.7,3.4,2.5,5.9,8.2,399.0,0.623,0.222,501.0,1.24,0.45,0.23,0.15,224.0,0.0,342.0,0.125,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,3.7,1.1,2.5,8.1,1.1,244.0,0.669,0.071,159.0,3.75,1.98,0.5,0.44,-96.0,0.0,130.0,0.143,0.143,0.0,2.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,1.7,2.1,4.1,4.9,8.0,381.0,0.52,0.223,503.0,1.06,0.41,0.23,0.16,-6.0,1.0,118.0,0.071,0.357,0.0,3.0,0.0,0.0
0.0,369.0,0.0,10.0,0.7,6.5,2.0,1.7,9.0,6.4,350.0,0.723,0.139,356.0,1.67,0.5,0.4,0.3,-119.0,1.0,-21.0,0.5,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.6,2.4,2.8,7.5,8.8,403.0,0.709,0.271,608.0,0.85,0.3,0.16,0.14,-10.0,8.0,350.0,0.25,0.25,0.0,2.0,0.0,0.0
0.0,369.0,0.0,4.0,0.0,1.5,0.5,4.3,6.0,5.4,293.0,0.622,0.152,296.0,1.58,0.53,0.35,0.33,-636.0,-12.0,-625.0,0.25,0.5,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.7,7.8,5.3,1.4,5.6,9.5,449.0,0.734,0.276,671.0,1.52,0.46,0.45,0.19,60.0,-1.0,90.0,0.2,0.1,0.0,3.0,0.0,0.0
0.0,369.0,0.0,10.0,0.5,3.6,0.8,2.9,9.7,1.0,252.0,0.783,0.069,166.0,3.68,1.7,0.51,0.46,185.0,-4.0,-258.0,0.7,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.5,3.6,3.1,2.4,5.4,8.3,394.0,0.604,0.294,696.0,1.3,0.41,0.35,0.18,-442.0,-9.0,-183.0,0.0,0.125,0.0,1.0,0.0,0.0
0.0,369.0,0.0,13.0,0.615,3.7,0.5,3.2,11.3,1.2,246.0,0.751,0.067,157.0,4.25,2.39,0.52,0.63,159.0,1.0,188.0,0.308,0.385,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,12.0,0.5,3.2,0.5,3.3,10.0,1.3,243.0,0.765,0.062,145.0,3.77,1.95,0.52,0.52,172.0,3.0,109.0,0.667,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,12.0,0.5,2.9,3.2,3.0,5.5,7.9,389.0,0.619,0.195,447.0,1.12,0.42,0.22,0.23,-82.0,-4.0,-331.0,0.333,0.083,0.0,1.0,0.0,0.0
0.0,369.0,0.0,4.0,0.0,2.4,3.5,3.0,3.8,8.4,386.0,0.74,0.305,581.0,0.98,0.45,0.21,0.24,-1172.0,-16.0,-634.0,0.25,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.4,3.9,2.4,4.3,9.2,407.0,0.703,0.255,574.0,0.9,0.38,0.24,0.11,-617.0,-12.0,-770.0,0.375,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,8.0,0.375,2.8,0.6,3.1,8.3,1.3,238.0,0.672,0.08,165.0,3.52,1.99,0.48,0.49,-209.0,5.0,334.0,0.375,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,12.0,0.667,4.4,4.8,2.8,7.3,9.7,457.0,0.707,0.299,778.0,1.16,0.38,0.33,0.12,129.0,0.0,216.0,0.167,0.083,0.0,1.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.8,1.2,3.6,5.4,5.9,320.0,0.682,0.135,278.0,1.7,0.41,0.45,0.4,-261.0,1.0,-288.0,0.2,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.2,2.8,2.4,4.8,8.9,392.0,0.577,0.215,482.0,1.06,0.37,0.25,0.19,-536.0,-2.0,-240.0,0.0,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.875,4.8,4.6,2.4,6.8,7.9,414.0,0.691,0.234,575.0,1.22,0.38,0.31,0.12,741.0,8.0,40.0,0.625,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.3,3.6,4.2,1.8,8.8,405.0,0.607,0.312,678.0,0.9,0.38,0.15,0.23,125.0,-8.0,-146.0,0.2,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,8.0,0.625,7.2,5.0,1.6,6.8,9.8,453.0,0.688,0.31,702.0,1.11,0.26,0.38,0.07,-118.0,-10.0,-710.0,0.25,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,8.0,0.875,9.1,4.6,1.3,6.8,10.3,486.0,0.716,0.3,696.0,1.22,0.4,0.39,0.16,322.0,10.0,182.0,0.25,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.625,2.9,0.6,4.3,11.6,1.1,245.0,0.714,0.072,164.0,3.86,2.06,0.52,0.57,-61.0,0.0,70.0,0.375,0.25,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.1,4.8,3.1,4.9,9.3,444.0,0.684,0.266,610.0,1.28,0.33,0.43,0.08,44.0,-4.0,50.0,0.0,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,6.0,0.333,2.2,2.3,3.3,4.8,9.1,395.0,0.639,0.269,566.0,1.05,0.35,0.37,0.06,-644.0,-2.0,-129.0,0.0,0.167,0.0,1.0,0.0,0.0
0.0,369.0,0.0,10.0,0.5,2.5,2.5,2.9,4.7,7.4,388.0,0.556,0.2,480.0,1.03,0.41,0.16,0.17,-197.0,-8.0,-134.0,0.2,0.0,0.0,3.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,4.7,1.1,2.1,8.6,6.3,337.0,0.799,0.155,342.0,1.39,0.23,0.34,0.18,-46.0,2.0,-28.0,0.143,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.5,3.4,4.0,2.6,5.0,9.7,442.0,0.63,0.282,618.0,1.41,0.39,0.45,0.17,-97.0,-6.0,-310.0,0.125,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,6.0,0.333,2.9,0.7,3.2,8.5,1.1,233.0,0.8,0.067,149.0,3.29,1.71,0.43,0.44,-336.0,-2.0,50.0,0.333,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,2.7,1.8,3.6,8.0,5.8,323.0,0.761,0.125,303.0,1.6,0.46,0.39,0.44,58.0,10.0,402.0,0.6,0.2,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.875,7.5,0.8,1.8,12.4,1.2,267.0,0.803,0.094,229.0,3.94,2.43,0.41,0.6,250.0,0.0,453.0,0.625,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,3.3,3.4,2.6,5.3,7.9,385.0,0.554,0.292,609.0,1.01,0.51,0.13,0.22,450.0,9.0,147.0,0.375,0.125,0.0,6.0,0.0,0.0
0.0,369.0,0.0,10.0,0.7,3.8,2.6,2.5,6.8,7.9,386.0,0.641,0.227,554.0,1.11,0.41,0.2,0.19,-228.0,5.0,-45.0,0.2,0.1,0.0,5.0,0.0,0.0
0.0,369.0,0.0,9.0,0.333,1.8,1.7,3.6,4.7,7.6,368.0,0.41,0.211,476.0,0.88,0.34,0.16,0.19,-547.0,-6.0,-436.0,0.222,0.222,0.0,1.0,0.0,0.0
0.0,369.0,0.0,12.0,0.667,5.0,5.3,2.5,7.3,8.2,416.0,0.713,0.269,688.0,1.29,0.34,0.37,0.12,212.0,3.0,132.0,0.25,0.083,0.0,1.0,0.0,0.0
0.0,369.0,0.0,4.0,0.0,2.0,1.0,3.5,6.0,1.1,225.0,0.672,0.094,182.0,3.72,2.37,0.45,0.51,-270.0,2.0,6.0,0.5,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.7,3.2,0.6,3.3,9.8,1.1,248.0,0.653,0.077,187.0,3.71,2.16,0.44,0.62,66.0,-5.0,-214.0,0.4,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,2.3,2.3,3.6,6.1,6.3,342.0,0.585,0.158,356.0,1.54,0.38,0.42,0.22,65.0,2.0,133.0,0.5,0.125,0.0,1.0,0.0,0.0
0.0,369.0,0.0,13.0,0.615,6.0,4.9,1.8,5.7,9.8,450.0,0.707,0.274,637.0,1.08,0.33,0.36,0.09,142.0,7.0,229.0,0.308,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,9.0,0.333,1.7,1.9,4.6,6.0,5.3,308.0,0.629,0.129,277.0,1.5,0.52,0.31,0.46,-325.0,-8.0,-367.0,0.333,0.111,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,2.2,3.4,3.6,4.6,8.8,404.0,0.661,0.302,718.0,1.2,0.44,0.27,0.21,-79.0,1.0,203.0,0.2,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,4.4,4.2,2.1,5.0,9.3,429.0,0.673,0.275,625.0,1.1,0.35,0.26,0.13,-207.0,-4.0,71.0,0.143,0.071,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.5,3.1,0.4,3.1,9.4,1.2,242.0,0.716,0.07,161.0,3.58,1.73,0.59,0.52,-48.0,2.0,145.0,0.125,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,1.8,0.6,5.6,9.4,1.0,247.0,0.736,0.057,126.0,4.1,2.22,0.53,0.55,104.0,-2.0,-475.0,0.25,0.375,0.0,1.0,0.0,0.0
0.0,369.0,0.0,9.0,0.333,1.9,0.4,5.1,9.2,1.1,237.0,0.798,0.07,149.0,3.9,2.22,0.58,0.63,-220.0,-1.0,-420.0,0.556,0.111,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.2,2.2,3.6,2.2,7.1,356.0,0.47,0.179,406.0,0.76,0.35,0.1,0.09,-525.0,-16.0,-49.0,0.0,0.2,0.0,2.0,0.0,0.0
0.0,369.0,0.0,6.0,0.333,5.9,4.5,1.5,4.3,9.7,438.0,0.772,0.304,665.0,1.03,0.45,0.29,0.15,125.0,5.0,504.0,0.333,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,12.0,0.667,2.7,0.4,4.3,11.1,1.1,249.0,0.66,0.06,150.0,4.08,2.36,0.57,0.67,-32.0,-1.0,-74.0,0.167,0.167,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.875,6.8,2.8,1.9,10.0,6.5,372.0,0.774,0.151,366.0,1.51,0.32,0.37,0.27,420.0,-1.0,242.0,0.5,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,6.0,0.333,2.0,2.0,3.5,4.8,7.3,352.0,0.572,0.168,364.0,1.02,0.39,0.23,0.17,-744.0,-8.0,-200.0,0.167,0.333,0.0,2.0,0.0,0.0
0.0,369.0,0.0,12.0,0.5,3.6,1.0,3.3,10.7,5.7,320.0,0.821,0.123,291.0,1.65,0.39,0.51,0.25,75.0,-5.0,-33.0,0.667,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.7,8.4,4.7,1.4,7.1,9.4,449.0,0.756,0.281,703.0,1.33,0.49,0.33,0.17,33.0,-7.0,-378.0,0.5,0.2,0.0,2.0,0.0,0.0
0.0,369.0,0.0,14.0,0.5,5.2,4.0,1.8,5.4,8.6,406.0,0.717,0.275,621.0,1.18,0.46,0.25,0.2,-54.0,2.0,-56.0,0.143,0.214,0.0,1.0,0.0,0.0
0.0,369.0,0.0,6.0,0.333,3.1,2.0,3.2,7.8,6.5,343.0,0.849,0.192,412.0,1.66,0.33,0.47,0.15,-208.0,2.0,-18.0,0.5,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,8.0,0.625,9.3,4.3,1.3,7.4,9.0,430.0,0.692,0.239,536.0,1.21,0.31,0.32,0.17,-183.0,-2.0,-95.0,0.0,0.125,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,9.0,0.333,3.1,3.6,2.7,4.8,8.2,390.0,0.66,0.282,621.0,1.43,0.53,0.32,0.25,30.0,5.0,128.0,0.222,0.0,0.0,3.0,0.0,0.0
0.0,369.0,0.0,5.0,0.2,1.6,2.6,4.0,3.8,9.4,416.0,0.648,0.295,631.0,1.24,0.36,0.44,0.12,382.0,8.0,749.0,0.0,0.0,0.0,3.0,0.0,0.0
0.0,369.0,0.0,13.0,0.615,3.5,1.7,3.4,10.1,5.3,318.0,0.771,0.15,343.0,1.68,0.46,0.39,0.34,50.0,-3.0,87.0,0.231,0.077,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.5,4.4,2.0,2.3,7.9,6.0,332.0,0.704,0.135,306.0,1.74,0.51,0.43,0.38,138.0,-1.0,-29.0,0.0,0.375,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,4.0,0.0,1.8,1.8,3.0,3.8,9.5,385.0,0.505,0.243,463.0,1.06,0.45,0.27,0.2,-820.0,-12.0,-797.0,0.25,0.0,0.0,1.0,0.0,0.0
0.0,369.0,0.0,10.0,0.5,3.8,2.4,2.4,6.6,6.1,346.0,0.672,0.15,349.0,1.69,0.47,0.38,0.32,20.0,4.0,51.0,0.6,0.2,0.0,1.0,0.0,0.0
0.0,369.0,0.0,12.0,0.5,4.2,5.6,2.5,5.0,10.5,465.0,0.755,0.337,782.0,1.41,0.43,0.42,0.14,261.0,8.0,39.0,0.5,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,3.0,0.333,3.1,1.0,4.0,11.3,5.5,330.0,0.806,0.171,440.0,1.74,0.49,0.43,0.43,186.0,-4.0,168.0,0.667,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.625,3.9,2.3,3.3,10.5,6.0,337.0,0.777,0.133,294.0,1.72,0.53,0.38,0.32,77.0,7.0,257.0,0.5,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,4.0,0.0,1.6,3.0,3.3,2.3,8.1,371.0,0.543,0.206,394.0,0.96,0.3,0.31,0.16,-319.0,0.0,-525.0,0.0,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,5.0,0.2,3.3,1.0,3.2,9.6,1.0,237.0,0.806,0.052,128.0,3.47,2.03,0.33,0.56,-21.0,1.0,109.0,0.8,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,13.0,0.615,6.2,3.8,1.9,8.1,8.5,413.0,0.767,0.274,638.0,1.44,0.5,0.42,0.17,221.0,-4.0,-135.0,0.077,0.077,0.0,1.0,0.0,0.0
0.0,369.0,0.0,9.0,0.778,5.3,2.4,2.4,10.6,6.2,358.0,0.738,0.15,391.0,1.58,0.37,0.41,0.35,93.0,1.0,1.0,0.444,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,10.0,0.5,4.9,3.8,1.8,5.0,10.0,448.0,0.675,0.316,731.0,1.37,0.42,0.41,0.16,224.0,6.0,571.0,0.5,0.0,0.0,1.930232558139535,0.0,0.0
0.0,369.0,0.0,8.0,0.375,4.5,3.1,2.4,7.6,6.4,360.0,0.762,0.184,422.0,1.89,0.65,0.45,0.22,102.0,4.0,-80.0,0.25,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,12.0,0.5,3.6,3.8,2.8,6.2,9.1,417.0,0.705,0.283,657.0,1.35,0.47,0.31,0.24,288.0,2.0,66.0,0.25,0.167,0.0,1.0,0.0,0.0
0.0,369.0,0.0,8.0,0.875,7.1,3.9,1.6,7.6,7.9,420.0,0.698,0.222,539.0,1.06,0.39,0.18,0.19,633.0,8.0,370.0,0.125,0.0,0.0,2.0,0.0,0.0
0.0,369.0,0.0,8.0,0.625,3.8,4.6,3.1,7.1,8.2,431.0,0.71,0.246,560.0,1.05,0.46,0.18,0.19,321.0,-2.0,-95.0,0.375,0.125,0.0,2.0,0.0,0.0
